,richness,shannon,invsimpson,simpson,pielou,PD
X11_7N_H_N_2,5668,7.31061678,155.5814092,0.993572497,0.845882476,57.84621
X11_7S_H_C_2,5451,7.326115914,227.9013297,0.995612136,0.851522012,63.95974
X11_8N_N_N_0,5937,7.498847703,352.6780178,0.997164553,0.863031751,68.65882
X11_8S_N_C_0,5981,7.447179093,284.7404828,0.99648803,0.856357557,70.41053
X11_9N_N_N_2,6631,7.829068808,692.4805611,0.998555916,0.88971636,72.66697
X11_9S_N_C_2,6530,7.615243092,324.7477037,0.996920686,0.866928786,64.66481
X12_10N_H_N_1,5523,7.405706897,302.3231508,0.996692281,0.859462105,58.49495
X12_10S_H_C_1,5973,7.565752984,398.1048676,0.997488099,0.870126393,66.58123
X12_11N_N_N_0,6231,7.568566518,342.2606245,0.99707825,0.866237093,73.53646
X12_11S_N_C_0,6315,7.482267915,261.1602507,0.996170933,0.855049587,65.53909
X12_12N_N_N_2,6719,7.689794187,303.6280334,0.996706496,0.872581489,68.19361
X12_12S_N_C_2,6189,7.288592958,141.9343366,0.992954489,0.834839805,71.88447
X12_13N_N_N_0,6186,7.760537095,680.8432253,0.998531233,0.888945936,68.22955
X12_13S_N_C_0,5322,7.029804003,152.4890954,0.993442154,0.819362249,57.89599
X12_14N_N_N_2,6051,7.403309968,234.6419212,0.995738187,0.850175467,67.18444
X12_14S_N_C_2,5988,7.18917938,99.56915723,0.989956729,0.826578769,69.48252
X12_15N_H_N_0,4111,6.810648233,185.8529504,0.994619402,0.818447685,52.9202
X12_15S_H_C_0,3976,6.873636135,208.1097286,0.995194843,0.82934483,52.692
X12_16N_H_N_1,4235,6.780429496,145.2868489,0.993117065,0.811916772,55.83902
X12_16S_H_C_1,4134,6.691775446,113.5549865,0.991193694,0.803623736,56.52032
X12_17N_N_N_2,6341,7.461082336,180.892664,0.99447186,0.852228418,68.31377
X12_17S_N_C_2,6935,7.822347074,567.5649436,0.998238087,0.884447038,71.09616
X12_18N_H_N_0,5549,7.352107858,173.3965699,0.994232873,0.852776913,63.01726
X12_18S_H_C_0,4756,7.095750064,239.8105993,0.995830043,0.838031662,63.13601
X12_19N_N_N_1,5059,7.00521138,164.8621667,0.993934327,0.821347603,55.36083
X12_19S_N_C_1,4676,6.836476528,121.8859777,0.991795611,0.809031489,59.10536
X12_1N_H_N_1,5086,6.963476283,80.40669795,0.987563225,0.815945019,59.25193
X12_1S_H_C_1,5996,7.505331403,350.5275613,0.997147157,0.862796031,69.63002
X12_20N_H_N_1,5364,6.953007885,70.37775111,0.985790964,0.809669406,60.74746
X12_20S_H_C_1,5095,7.217358991,296.9242752,0.996632138,0.845518551,60.58755
X12_21N_H_N_2,4221,6.85989084,146.4672646,0.993172536,0.821757633,48.6273
X12_21S_H_C_2,6365,7.470825848,245.4537114,0.995925912,0.85297329,71.15418
X12_22N_H_N_2,6496,7.642316194,371.5243266,0.997308386,0.870528168,68.16159
X12_22S_H_C_2,6418,7.442946999,199.0391683,0.994975863,0.848986462,68.26178
X12_23N_N_N_1,5373,7.297523014,207.878307,0.995189493,0.849621915,62.29849
X12_23S_N_C_1,5052,6.821720295,67.55196384,0.985196581,0.799963496,54.30485
X12_24N_N_N_0,6020,7.746758457,690.2157635,0.998551178,0.890141172,66.90089
X12_24S_N_C_0,5140,7.290062355,334.9905061,0.997014841,0.853156917,57.58414
X12_2N_H_N_0,6808,7.870863771,713.8421556,0.99859913,0.891796314,82.07951
