,richness,shannon,invsimpson,simpson,pielou,PD
X15_14S_N_C_2,410,2.856720066,5.218566825,0.808376508,0.47484133,11.15688
X15_15N_H_N_0,359,3.478218398,14.92496672,0.932998176,0.591199694,9.51918
X15_15S_H_C_0,736,5.144416653,63.56581301,0.984268273,0.779311819,14.22124
X15_16N_H_N_1,312,3.487007267,11.29064125,0.911431071,0.607174879,5.63438
X15_16S_H_C_1,691,4.759143874,32.86092415,0.96956872,0.727904878,15.6195
X15_17N_N_N_2,932,5.179149342,51.78452718,0.980689213,0.757480948,17.77556
X15_17S_N_C_2,442,3.681730567,17.26686313,0.942085601,0.604423455,8.79321
X15_18N_H_N_0,496,3.624052066,8.076878702,0.876189796,0.583905217,9.48296
X15_18S_H_C_0,578,4.585808983,30.4971188,0.967210017,0.721087462,11.30066
X15_19N_N_N_1,423,4.157412484,18.49558822,0.945933052,0.687474222,8.25543
X15_19S_N_C_1,649,4.241296588,15.3705993,0.934940728,0.654982728,14.17027
X15_1N_H_N_1,157,2.557921006,7.637651098,0.869069693,0.505893326,2.89186
X15_1S_H_C_1,445,3.612483517,11.87541632,0.915792426,0.592397427,9.39027
X15_20N_H_N_1,327,3.199972254,9.216920765,0.891503895,0.552676039,5.73129
X15_20S_H_C_1,706,4.734335538,37.88210866,0.973602314,0.721739823,14.55858
X15_21N_H_N_2,439,3.062933438,5.637795685,0.822625711,0.503399414,10.21129
X15_21S_H_C_2,635,4.379671289,23.83488775,0.958044694,0.6786374,14.96435
X15_22N_H_N_2,351,2.530369365,4.501124849,0.777833312,0.43174572,8.87269
X15_22S_H_C_2,617,4.224999304,19.22074987,0.947972894,0.657600846,12.64978
X15_23N_N_N_1,538,4.353175097,24.2543653,0.958770308,0.692314411,8.67154
X15_23S_N_C_1,818,5.083125678,58.29419769,0.982845634,0.757899212,13.81521
X15_24N_N_N_0,652,4.587897088,32.2177541,0.968961213,0.708003941,12.22502
X15_24S_N_C_0,574,4.732126958,41.43535202,0.975866019,0.744908393,8.5074
X15_2N_H_N_0,278,2.949636052,7.144475322,0.860031709,0.524135508,6.30474
X15_2S_H_C_0,269,1.329951715,1.673002415,0.402272232,0.237715876,6.97809
X15_3N_N_N_1,301,2.778360776,5.492240458,0.817924942,0.486824443,5.08876
X15_3S_N_C_1,692,4.782643881,35.40211379,0.971753099,0.731337414,12.92636
X15_4N_H_N_2,630,3.772920087,9.910213968,0.899094005,0.585337277,13.69015
X15_4S_H_C_2,476,3.195031552,5.505042615,0.818348364,0.518218169,10.02798
X15_5N_H_N_0,484,3.540414306,6.185266499,0.838325479,0.572689369,11.84732
X15_5S_H_C_0,428,2.702146114,3.967404877,0.747946068,0.445963224,9.55826
X15_6N_N_N_1,394,3.804782888,16.91952532,0.940896687,0.636639807,5.93219
X15_6S_N_C_1,331,1.944541757,2.905604816,0.655837575,0.335143413,7.70925
X15_7N_H_N_2,703,4.574310977,22.64036203,0.955831095,0.697797397,12.42743
X15_7S_H_C_2,667,4.870332318,38.76581461,0.974204076,0.748960413,13.87792
X15_8N_N_N_0,721,4.464614167,20.37650122,0.950923861,0.678446891,16.12432
X15_8S_N_C_0,735,4.418637742,18.25089576,0.945208169,0.669503703,14.94135
X15_9N_N_N_2,397,2.981055759,6.454602854,0.8450718,0.498176387,8.6729
X15_9S_N_C_2,715,4.384479165,18.97058971,0.947286826,0.667116658,14.15789
X16_10N_H_N_1,417,3.203091139,6.965267745,0.856430501,0.530920829,9.71795
X16_10S_H_C_1,706,4.114205186,12.11171011,0.917435276,0.627202212,14.39673
X16_11N_N_N_0,481,3.584877632,11.07081795,0.909672438,0.580465459,11.73185
X16_11S_N_C_0,326,3.024197247,6.518131489,0.8465818,0.522593896,7.83148
X16_12N_N_N_2,505,4.112796418,20.57404205,0.951395064,0.660737057,9.93742
X16_12S_N_C_2,402,3.338619849,11.31898761,0.911652876,0.556765867,10.11521
X16_13N_N_N_0,442,3.769394309,13.80907349,0.927583845,0.618815063,7.5614
X16_13S_N_C_0,773,4.942281292,39.26562868,0.974532434,0.743169009,15.9144
X16_14N_N_N_2,751,5.048835218,55.65047161,0.9820307,0.762502025,14.076
X16_14S_N_C_2,528,4.021907577,16.55770913,0.939605172,0.641545032,11.74844
X16_15N_H_N_0,240,2.352215739,4.186260159,0.761123303,0.429186409,7.06867
X16_15S_H_C_0,503,4.436110484,34.38950852,0.970921364,0.713133378,10.0706
